date	close
2015-11-17	119
2014-12-19	8
2014-12-27	5
2014-12-23	1
2014-12-23	1
2014-12-23	1
2014-12-23	1
2014-12-22	8
2014-12-17	1
2014-12-25	2
2014-12-30	4
2015-04-16	2
2015-09-28	0
2015-10-20	1
2015-10-25	0
2015-10-26	0
2015-10-31	1
2015-11-13	8
2015-11-26	3
2015-12-19	1
2016-01-30	7
2016-01-31	5
2016-02-06	2
2016-02-08	94
2016-02-18	3
2016-02-20	3
2016-02-26	19
2016-02-27	10
2016-03-01	2
2016-03-03	0
2016-03-11	5
2016-03-16	1
2016-03-20	0
2016-03-21	0
2016-03-22	0
2016-03-25	1
2016-04-06	9
2016-04-07	3
2016-04-11	0
2016-04-14	1
2016-04-21	6
2016-05-12	2
2016-06-16	1
2016-08-12	4
2016-09-14	0
2016-10-03	0
2016-10-09	1
2016-10-30	0
2016-11-12	1
2016-11-27	2
2017-06-14	49
2017-06-17	1
2017-07-02	1
2017-08-27	0
2017-09-04	0
2017-10-30	1
2017-11-10	6
2017-11-20	0
